ProductID,Product Name,Product Description,Cost Price,Selling Price,Eat Out Price,Popup Notes,Tax Percentage,Eat Out Tax Percentage,Category Name,Brand Name,Measurement Scheme,Unit Of Sale,Volume Of Sale,Unit Of Purchase, Volume Of Purchase,Barcode,Supplier,OrderCode,RRP,Product Type,Article Code,Tare Weight,Button Colour,Multiple Choice Note Name,Till Order,SKU,Sell On Till,Sell On Web, Is Variable Price, Is Tax Exempt Eligible, Is Excluded From Loyalty Points Gain, Additional Suppliers,Delete Product, Product Tags, Archived Product, Container Fee
10347906,Mehar Atta Cookies 500gms,Mehar Atta Cookies 500gms,5.55000,8.99000,0.00000,,10.0000,,Biscuits,,,,,,,0706502324056,VAP International,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10347919,Mehar Desi Ghee Atta 1kg,Mehar Desi Ghee Atta 1kg,12.75000,19.99000,0.00000,,10.0000,,,,,,,,,0787099270704,VAP International,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10347931,Mehar Naan Khatai Cookies 450gm,Mehar Naan Khatai Cookies 450gm,5.55000,8.99000,0.00000,,10.0000,,Biscuits,,,,,,,0706502324025,VAP International,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10349111,Saurbhi Basanti Everyday Rice 5 kg,Basanti Everyday Rice 5 kg,9.75000,12.99000,0.00000,,,,Rice & poha,,,,,,,8904188610124,Shivom Enterprises Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10356681,Curry Masters Varieties,Curry Masters Varieties,4.60000,5.99000,0.00000,,,,Spices,,,,,,,9327305500501,,,,Standard,,,,,,,y,n,n,n,n,Subhi Foods Pty Ltd,n,,n,
10356699,Laziza Kheer Mix Almond and Saffron 155g ,Laziza Kheer Mix Almond and Saffron 155g ,3.00000,3.99000,0.00000,,,,Spices mixes# masala,,,,,,,5028217001042,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10356714,Laziza Shahi Tukra Mix With Saffron 180 g ,Laziza Shahi Tukra Mix With Saffron 180 g ,3.00000,3.99000,0.00000,,,,Spices mixes# masala,,,,,,,5028217001486,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10356729,Laziza Kulfa Khoya Mix Pistachio 152 g ,Laziza Kulfa Khoya Mix Pistachio 152 g ,3.00000,3.99000,0.00000,,,,Spices mixes# masala,,,,,,,5028217001288,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10356742,Laziza Sheer Khurma Mix 160 g ,Laziza Sheer Khurma Mix 160 g ,3.00000,3.99000,0.00000,,,,,,,,,,,5028217001257,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10356751,Laziza Kulfa Mix 152 g ,Laziza Kulfa Mix 152 g ,1.50000,2.49000,0.00000,,0.0000,,Spices mixes# masala,,,,,,,5028217000779,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10356764,Laziza Kheer Mix Pistachio and Coconut 155g ,Laziza Kheer Mix Pistachio and Coconut 155g ,3.00000,3.99000,0.00000,,,,Spices mixes# masala,,,,,,,5028217001059,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10356882,Laziza Firni Khas Saffron 150 g ,Laziza Firni Khas Saffron 150 g ,3.00000,3.99000,0.00000,,,,,,,,,,,5028217001028# 5028217001059,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10356942,Shan Masala Varieties ,Shan Masala Varieties ,2.00000,2.99000,0.00000,,,,,,,,,,,,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10357900,Sunfeast Tadhe Medhe Masala 140 g ,Sunfeast Tadhe Medhe Masala 140 g ,2.10000,2.99000,0.00000,,10.0000,,Snacks & chips,,,,,,,8901725018115# 8901725018122,Reliable Exim,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10359886,Shan Dahi Bara Mix 150 g ,Shan Dahi Bara Mix 150 g ,2.00000,2.99000,0.00000,,0.0000,,Spices mixes# masala,,,,,,,78882106509,Nimco Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10359891,Shan Chicken Jalfrezi 50 g ,Shan Chicken Jalfrezi 50 g ,2.00000,2.99000,0.00000,,0.0000,,Spices mixes# masala,,,,,,,788821089090,Nimco Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10359898,Shan Aloo Bhaji 50 g ,Shan Aloo Bhaji 50 g ,2.00000,2.99000,0.00000,,0.0000,,Spices mixes# masala,,,,,,,,Nimco Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10359901,Shan Kat a Kat 50 g ,Shan Kat a Kat 50 g ,1.50000,2.99000,0.00000,,0.0000,,Spices mixes# masala,,,,,,,,Nimco Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10359908,Shan Lahori Charga 50 g ,Shan Lahori Charga 50 g ,2.00000,2.99000,0.00000,,0.0000,,Spices mixes# masala,,,,,,,788821037183,Nimco Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10359913,Shan Bihari Kabab 50 g ,Shan Bihari Kabab 50 g ,2.00000,2.99000,0.00000,,0.0000,,Spices mixes# masala,,,,,,,,Nimco Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10359919,Shan Murgh Cholay 50 g ,Shan Murgh Cholay 50 g ,2.00000,2.99000,0.00000,,0.0000,,Spices mixes# masala,,,,,,,788821002020,Nimco Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10361984,Shan Murgh Cholay 50 g ,Shan Murgh Cholay 50 g ,2.00000,2.99000,0.00000,,0.0000,,Spices mixes# masala,,,,,,,788821002020,Nimco Foods Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10361996,Haldirams Bulk Lachha Pratha 1.2kg,Haldirams Bulk Lachha Pratha 1.2kg,10.00000,13.99000,0.00000,,0.0000,,Frozen,,,,,,,8904063211606,Reliable Exim,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10362001,Haldirams Bulk Multigrain Chapati 900g,Haldirams Bulk Multigrain Chapati 900g,9.00000,13.99000,0.00000,,0.0000,,Frozen,,,,,,,,Reliable Exim,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10399248,Capri multivitamin drink,,1.00000,2.00000,0.00000,,10.0000,,Drinks,,,,,,,4000177020487,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10405664,Sparkle Pencil 18 cm,,2.99000,5.00000,0.00000,,10.0000,,Party needs,,,,,,,9326243280803,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10405717,Putty Toilet Noise 40g,Putty Toilet Noise 40g,1.20000,2.79000,0.00000,,10.0000,,Miscellaneous,,,,,,,9326243221240,Chang & Mei Pty Ltd,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10421298,Shan Roasted,,2.00000,2.99000,0.00000,,,,Noodles,,,,,,,788821003584,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10421651,Black Rose Kali Mehandi 50g,Black Rose Kali Mehandi 50g,3.99000,4.99000,0.00000,,,,Cosmetics,,,,,,,815865000122,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10421654,Cucumber Soap,Cucumber Soap,1.50000,1.99000,0.00000,,0.0000,,Cosmetics,,,,,,,8964000381422,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10421657,Chandni White Cream,Chandni White Cream,5.99000,6.99000,0.00000,,10.0000,,Cosmetics,,,,,,,0102196013014,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10421659,Golden Pearl Beauty Cream 28g,Golden Pearl Beauty Cream 28g,7.99000,8.99000,0.00000,,10.0000,,Cosmetics,,,,,,,,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10421660,Monica Natural Henna Powder 100g,Monica Natural Henna Powder 100g,23.00000,9.99000,0.00000,,0.0000,,Cosmetics,,,,,,,9311503362900,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10421663,Lux soft glow 100g,Lux soft glow 100g,1.00000,1.99000,0.00000,,0.0000,,Cosmetics,,,,,,,8901030836589,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
10421665,Lux brighter glow 100g,Lux brighter glow 100g,1.00000,1.99000,0.00000,,0.0000,,Cosmetics,,,,,,,8901030925627,,,,Standard,,,,,,,y,n,n,n,n,,n,,n,
